x,y,r,g,b,line,col,level
935,550,230,100,91,10,14,2
931,555,101,61,61,10,14,3
963,556,156,92,39,10,15,0
970,557,212,105,81,10,15,1
978,557,89,58,57,10,15,2
983,559,191,173,142,10,15,3
1016,553,95,56,57,10,16,0
1020,554,231,178,123,10,16,1
1029,555,163,120,91,10,16,2
1035,554,166,55,62,10,16,3
1071,554,94,56,62,10,17,0
1078,549,88,57,34,10,17,1
1088,559,220,104,82,10,17,2
1095,558,50,68,86,10,17,3
1124,562,238,198,156,10,18,0
1131,561,146,115,92,10,18,1
1140,561,66,71,93,10,18,2
1146,559,239,179,123,10,18,3
1218,541,167,51,62,10,19,0
1212,546,146,161,147,10,19,1
1204,552,221,146,65,10,19,2
1200,557,74,47,54,10,19,3
98,629,229,109,103,11,0,0
101,619,90,65,44,11,0,1
110,613,97,56,60,11,0,2
114,604,237,153,79,11,0,3
148,622,63,63,56,11,1,0
155,616,231,136,71,11,1,1
166,612,181,147,121,11,1,2
174,603,236,180,124,11,1,3
236,590,112,80,54,11,2,0
214,596,250,193,129,11,2,1
219,604,71,88,91,11,2,2
224,609,216,110,89,11,2,3
258,603,110,70,71,11,3,0
269,604,212,138,66,11,3,1
287,612,74,52,33,11,3,2
283,605,158,67,59,11,3,3
313,585,239,180,120,11,4,0
320,597,239,204,164,11,4,1
331,602,165,55,54,11,4,2
337,604,71,80,91,11,4,3
373,597,87,99,106,11,5,0
380,601,209,135,55,11,5,1
390,604,101,62,59,11,5,2
398,604,238,189,133,11,5,3
435,600,221,98,84,11,6,0
443,601,95,56,50,11,6,1
449,604,190,165,119,11,6,2
461,604,92,60,57,11,6,3
497,622,215,139,75,11,7,0
502,616,101,72,48,11,7,1
509,603,104,66,60,11,7,2
517,601,229,170,110,11,7,3
553,607,57,63,71,11,8,0
563,607,228,170,116,11,8,1
572,602,98,56,59,11,8,2
580,603,234,118,101,11,8,3
614,603,198,127,62,11,9,0
621,604,67,71,81,11,9,1
629,606,235,170,105,11,9,2
636,605,237,149,80,11,9,3
670,604,184,111,52,11,10,0
678,609,87,103,114,11,10,1
688,609,155,54,51,11,10,2
691,608,230,158,135,11,10,3
725,605,90,53,56,11,11,0
732,609,231,174,112,11,11,1
740,609,141,110,84,11,11,2
749,609,139,72,64,11,11,3
786,608,213,129,58,11,12,0
797,610,73,54,51,11,12,1
803,610,205,97,82,11,12,2
811,610,187,160,115,11,12,3
849,615,82,57,31,11,13,0
856,609,163,53,54,11,13,1
862,609,73,87,97,11,13,2
873,607,250,184,116,11,13,3
906,613,219,107,96,11,14,0
911,611,92,55,56,11,14,1
921,610,221,170,105,11,14,2
928,607,162,49,54,11,14,3
961,605,56,53,44,11,15,0
970,609,223,145,68,11,15,1
979,611,77,76,87,11,15,2
985,611,176,103,43,11,15,3
1060,582,236,167,106,11,16,0
1049,591,86,62,54,11,16,1
1046,600,233,177,125,11,16,2
1036,606,214,141,70,11,16,3
1069,605,65,79,93,11,17,0
1076,606,224,133,103,11,17,1
1085,603,77,63,52,11,17,2
1091,606,183,114,56,11,17,3
1125,589,64,61,53,11,18,0
1131,604,201,125,66,11,18,1
1139,611,184,158,116,11,18,2
1146,613,132,100,93,11,18,3
1187,622,176,50,54,11,19,0
1192,617,93,102,114,11,19,1
1202,614,242,183,125,11,19,2
1207,610,145,104,85,11,19,3
