x,y,r,g,b,line,col,level
603,142,182,109,47,2,9,0
614,144,87,101,113,2,9,1
621,145,225,98,86,2,9,2
628,145,99,57,54,2,9,3
658,142,195,177,134,2,10,0
668,142,240,183,117,2,10,1
675,144,68,70,83,2,10,2
683,145,210,135,66,2,10,3
720,138,104,61,70,2,11,0
727,141,231,174,115,2,11,1
737,143,55,60,75,2,11,2
748,140,235,200,180,2,11,3
784,135,216,134,64,2,12,0
792,141,57,52,46,2,12,1
798,140,222,103,90,2,12,2
809,138,86,88,94,2,12,3
841,135,83,93,99,2,13,0
851,135,240,174,117,2,13,1
858,135,103,65,61,2,13,2
866,134,203,99,73,2,13,3
897,130,236,186,142,2,14,0
905,132,155,60,57,2,14,1
915,135,70,58,52,2,14,2
924,136,221,143,65,2,14,3
958,126,84,52,40,2,15,0
963,130,215,156,97,2,15,1
971,136,144,107,96,2,15,2
979,139,185,109,80,2,15,3
1012,131,234,172,116,2,16,0
1048,124,86,61,52,2,16,1
1044,131,105,58,60,2,16,2
1037,139,199,131,72,2,16,3
1070,135,75,84,91,2,17,0
1075,139,227,146,91,2,17,1
1083,143,70,61,46,2,17,2
1091,144,204,124,88,2,17,3
1126,135,136,48,53,2,18,0
1134,142,98,71,53,2,18,1
1138,144,233,144,114,2,18,2
1146,145,99,81,67,2,18,3
1178,147,100,109,105,2,19,0
1185,148,218,144,78,2,19,1
1192,150,115,65,71,2,19,2
1203,150,207,133,71,2,19,3
79,200,233,149,78,3,0,0
89,201,79,70,63,3,0,1
96,201,240,136,100,3,0,2
104,192,216,162,135,3,0,3
141,195,67,83,104,3,1,0
148,199,191,115,52,3,1,1
155,197,189,147,111,3,1,2
162,196,219,112,93,3,1,3
193,197,73,70,74,3,2,0
198,198,218,108,77,3,2,1
207,199,94,64,45,3,2,2
217,197,115,76,73,3,2,3
250,192,81,90,99,3,3,0
260,198,223,117,92,3,3,1
271,198,105,61,66,3,3,2
276,200,241,205,162,3,3,3
313,193,176,102,40,3,4,0
320,195,138,102,77,3,4,1
329,198,220,110,86,3,4,2
340,196,84,66,68,3,4,3
374,194,156,53,49,3,5,0
381,195,86,93,104,3,5,1
390,199,229,168,101,3,5,2
398,198,105,71,62,3,5,3
429,195,204,190,146,3,6,0
440,193,224,137,63,3,6,1
449,199,78,64,57,3,6,2
456,196,230,108,94,3,6,3
491,194,96,60,60,3,7,0
497,196,234,180,117,3,7,1
505,198,75,90,103,3,7,2
514,199,222,94,90,3,7,3
551,174,92,64,41,3,8,0
554,186,226,100,84,3,8,1
563,195,99,101,105,3,8,2
568,196,231,142,67,3,8,3
602,194,179,106,53,3,9,0
610,196,92,57,53,3,9,1
618,195,246,196,145,3,9,2
625,191,159,122,94,3,9,3
658,189,217,98,83,3,10,0
668,191,93,65,34,3,10,1
676,193,97,60,58,3,10,2
687,193,247,194,144,3,10,3
718,188,189,166,123,3,11,0
727,193,226,135,56,3,11,1
737,193,66,59,55,3,11,2
746,194,149,57,58,3,11,3
780,177,95,58,56,3,12,0
786,185,220,162,108,3,12,1
795,188,89,90,99,3,12,2
805,190,210,95,85,3,12,3
836,188,163,98,49,3,13,0
846,189,162,53,50,3,13,1
853,191,113,83,63,3,13,2
860,186,155,46,53,3,13,3
895,192,191,92,75,3,14,0
901,190,180,156,119,3,14,1
910,187,96,57,67,3,14,2
918,186,212,125,65,3,14,3
955,183,204,142,90,3,15,0
959,185,70,72,77,3,15,1
966,188,229,113,91,3,15,2
973,189,102,76,49,3,15,3
1006,188,202,124,61,3,16,0
1016,191,93,64,43,3,16,1
1023,188,98,61,64,3,16,2
1028,192,228,186,136,3,16,3
1062,186,96,55,60,3,17,0
1068,188,206,188,149,3,17,1
1077,191,220,147,80,3,17,2
1083,190,104,74,55,3,17,3
1152,214,67,60,48,3,18,0
1125,196,194,128,62,3,18,1
1134,191,157,124,100,3,18,2
1141,192,155,88,50,3,18,3
1172,198,219,140,72,3,19,0
1180,197,176,69,76,3,19,1
1189,194,183,115,68,3,19,2
1196,195,95,96,95,3,19,3
84,267,241,192,132,4,0,0
90,259,102,59,64,4,0,1
100,255,219,197,164,4,0,2
109,250,219,107,85,4,0,3
182,267,237,127,104,4,1,0
175,265,109,71,66,4,1,1
164,261,228,156,89,4,1,2
161,249,133,82,30,4,1,3
190,263,62,59,54,4,2,0
196,258,253,196,134,4,2,1
205,257,91,98,99,4,2,2
214,253,227,113,79,4,2,3
249,252,229,156,80,4,3,0
256,253,158,43,48,4,3,1
267,254,88,61,35,4,3,2
276,251,240,144,62,4,3,3
315,240,105,61,60,4,4,0
322,241,235,178,113,4,4,1
329,246,229,106,90,4,4,2
337,250,111,80,52,4,4,3
369,241,236,187,137,4,5,0
378,247,138,104,78,4,5,1
385,251,221,138,64,4,5,2
391,252,69,60,53,4,5,3
428,244,64,70,81,4,6,0
435,245,212,91,71,4,6,1
444,258,71,57,52,4,6,2
452,249,255,220,206,4,6,3
487,250,229,144,71,4,7,0
496,254,79,95,102,4,7,1
506,254,182,107,41,4,7,2
511,251,107,71,68,4,7,3
547,231,101,65,66,4,8,0
551,240,240,195,150,4,8,1
559,251,172,53,53,4,8,2
568,250,72,57,56,4,8,3
600,250,216,135,60,4,9,0
611,254,146,116,97,4,9,1
619,251,227,168,107,4,9,2
626,247,158,53,51,4,9,3
659,242,66,58,52,4,10,0
667,243,243,189,134,4,10,1
678,245,76,89,102,4,10,2
683,246,224,95,97,4,10,3
716,244,160,46,54,4,11,0
729,248,91,69,47,4,11,1
738,247,218,137,68,4,11,2
744,245,74,90,96,4,11,3
779,246,237,187,141,4,12,0
788,246,213,132,62,4,12,1
796,247,198,181,144,4,12,2
802,244,102,70,62,4,12,3
832,243,97,60,61,4,13,0
840,242,225,143,68,4,13,1
849,240,83,95,115,4,13,2
857,240,232,185,125,4,13,3
890,240,139,42,36,4,14,0
897,241,63,56,47,4,14,1
906,242,213,137,67,4,14,2
916,240,201,171,126,4,14,3
946,238,232,183,137,4,15,0
955,240,163,133,114,4,15,1
963,245,150,58,56,4,15,2
969,239,171,108,48,4,15,3
1002,255,104,77,67,4,16,0
1011,240,225,167,104,4,16,1
1017,241,154,48,50,4,16,2
1025,241,214,184,152,4,16,3
1090,266,103,70,58,4,17,0
1064,246,244,203,164,4,17,1
1073,242,164,57,57,4,17,2
1080,243,83,91,102,4,17,3
1115,223,227,114,97,4,18,0
1120,230,105,62,61,4,18,1
1127,238,177,103,49,4,18,2
1133,243,89,99,101,4,18,3
1170,223,106,68,65,4,19,0
1174,230,238,182,132,4,19,1
1184,239,58,66,85,4,19,2
1191,246,164,55,72,4,19,3
80,293,230,179,122,5,0,0
86,295,233,112,95,5,0,1
96,299,79,82,96,5,0,2
